Time (ms),User Id,Global body mq,Upper body mq,Left arm mq,Right arm mq,Head mq,Left Hand mq,Right Hand mq,User Id,Global body mq,Upper body mq,Left arm mq,Right arm mq,Head mq,Left Hand mq,Right Hand mq
16318,0.000000,11.348886,11.348886,3.983495,3.366149,1.602489,0.805128,1.414450,1.000000,9.164039,9.164039,2.198897,5.466975,0.050234,0.000000,0.025327
16386,0.000000,6.984359,6.984359,3.088443,1.380018,1.224066,0.400653,0.575299,1.000000,4.636490,4.636490,0.950021,2.002856,0.055925,0.000000,0.015746
16486,0.000000,15.394031,15.394031,8.922019,1.136185,1.213968,3.455265,0.344808,1.000000,3.982698,3.982698,0.512779,0.698760,0.064208,0.000000,0.078465
16600,0.000000,6.643890,6.643890,2.055783,2.311942,0.888870,0.997762,0.844299,1.000000,2.378618,2.378618,0.340034,0.575711,0.128478,0.000000,0.128291
16722,0.000000,6.606724,6.606724,2.217580,2.832802,0.604130,0.950937,1.223773,1.000000,3.316995,3.316995,0.320279,0.383764,0.186405,0.000000,0.124778
16800,0.000000,134.267990,134.267990,97.210800,22.615372,3.473774,40.163612,8.810137,1.000000,3.094225,3.094225,1.029858,0.196561,0.147099,0.000000,0.082964
16922,0.000000,131.580276,131.580276,96.319000,20.884457,3.251733,40.123234,7.844423,1.000000,4.303812,4.303812,0.693325,0.697471,0.127757,0.000000,0.058421
17018,0.000000,8.706896,8.706896,4.109278,3.235626,0.551365,3.178915,1.514927,1.000000,2.027819,2.027819,0.447733,0.255257,0.117496,0.000000,0.022260
17118,0.000000,5.283279,5.283279,2.294092,0.611349,0.528840,1.558502,0.235489,1.000000,2.803201,2.803201,0.261482,0.185927,0.118377,0.000000,0.023691
17186,0.000000,10.272659,10.272659,6.557427,0.722368,0.718421,3.744369,0.263527,1.000000,1.472125,1.472125,0.142057,0.146567,0.088320,0.000000,0.025741
17300,0.000000,11.535785,11.535785,4.402247,3.970960,0.703244,3.266447,1.811686,1.000000,7.870396,7.870396,0.292471,6.485537,0.061020,0.000000,0.007514
