Time (ms),x1,x2,x3,x4,x5
72000,0.24194,-0.18254,-0.24475,-0.23222,0.061352
72200,0.2709,0.15033,0.27914,0.15453,-0.30354
72400,0.13655,0.12526,0.4837,0.27812,0.5967
72600,-0.35358,-0.070181,0.091727,0.19122,0.64891
72800,-0.44824,-0.96467,-0.64488,-0.24862,0.52824
73000,-0.44146,-0.10295,-0.65178,-0.30263,0.28969
73200,-0.22495,0.77021,0.1006,0.009045,0.66018
73400,0.016601,-0.024913,0.74548,0.30745,0.4215
73600,-0.027896,0.10441,0.5584,0.085791,-0.7933
73800,0.21475,0.040845,-0.29995,0.05697,-1.2111
74000,0.45478,-0.26263,-0.564,-0.34401,-1.2416
74200,0.4784,0.44069,0.055524,-0.47706,-1.5516
74400,0.078296,0.15261,0.54795,0.30137,-1.1473
74600,0.24646,-0.36072,0.13506,0.56542,0.67834
74800,-0.10986,-0.31014,-0.31734,-0.19533,1.9057
75000,-0.30859,0.14669,-0.58426,-0.57899,0.96392
75200,-0.12844,-0.1999,-0.25114,0.089155,-0.48584
75400,-0.17108,-0.24019,0.51017,0.58707,-2.9836
75600,-0.095203,0.20888,0.45812,0.13468,-2.5303
75800,-0.092794,0.073796,-0.022054,-0.48298,-1.6649
76000,-0.061,0.5142,-0.3114,-0.34557,-0.23808
76200,-0.2121,0.029042,-0.17452,0.21721,0.27735
76400,0.04821,0.49822,0.00010712,0.23732,-0.027065
76600,0.16216,0.50403,0.4433,-0.021856,-0.16722
76800,0.54513,-0.28669,0.45491,-0.16747,-0.10387
77000,0.44066,-0.59234,0.22101,-0.2236,0.17437
77200,0.43054,0.55141,-0.27041,-0.11281,-0.45484
77400,0.5405,0.11948,-0.47972,0.012604,-1.131
77600,0.55295,-0.45428,0.014927,0.062242,-0.37227
77800,0.24607,1.1746,0.54809,0.15293,1.1937
78000,0.25298,-0.090248,0.25425,-0.02996,1.6161
78200,-0.16169,-0.67945,-0.21511,-0.27657,0.88732
78400,-0.1579,0.067269,-0.65028,-0.052214,0.32844
78600,-0.54941,0.52017,-0.22368,-0.091933,-0.38729
78800,-0.28295,-0.91137,0.072331,0.11527,0.63252
79000,-0.19826,0.053953,0.37184,0.20562,0.83537
79200,-0.066093,0.83001,0.30053,0.071858,-0.071754
79400,-0.05015,-0.096981,-0.04,-0.13406,-1.3518
79600,0.098186,-0.36019,-0.20894,-0.32922,-1.7972
79800,-0.086162,0.21223,-0.064638,-0.01564,-0.87544
80000,-0.36683,-0.27101,0.010633,0.34764,1.0309
80200,-0.30813,-0.20503,-0.12276,-0.052687,1.6438
80400,-0.32931,-0.47238,-0.11053,-0.21433,-1.0169
80600,-0.31978,0.75868,0.0071014,-0.061437,-1.669
80800,-0.041184,0.29998,0.12384,-0.18309,-0.18502
81000,-0.002654,0.25871,0.25897,0.042535,0.99501
81200,0.17608,0.59065,0.0060051,0.06434,1.1327
81400,0.24992,-0.53548,-0.055399,0.24387,-0.048097
81600,0.31149,-0.13278,0.023572,-0.082912,-0.97686
81800,0.47871,-0.26125,0.066505,-0.18596,-1.1269
82000,0.6723,0.017755,0.22768,0.37076,-1.0814
82200,0.45177,0.18845,0.34235,0.24586,0.6452
82400,0.42342,0.63786,-0.085278,-0.37204,0.18009
