Time,x,y
785,-0.91671,-0.36135
786,-0.95881,-0.3718
787,-0.91401,-0.35984
788,-0.86921,-0.34788
789,-0.883575,-0.383285
790,-0.89794,-0.41869
791,-0.907185,-0.3956
792,-0.91643,-0.37251
793,-0.93798,-0.362155
794,-0.95953,-0.3518
795,-0.925545,-0.37546
796,-0.89156,-0.39912
797,-0.897915,-0.39193
798,-0.90427,-0.38474
799,-0.92039,-0.405195
800,-0.93651,-0.42565
801,-0.94443,-0.413455
802,-0.95235,-0.40126
803,-0.95097,-0.420685
804,-0.94959,-0.44011
805,-0.936925,-0.417075
806,-0.92426,-0.39404
807,-0.919545,-0.39721
808,-0.91483,-0.40038
809,-0.90676,-0.395485
810,-0.89869,-0.39059
811,-0.931985,-0.41908
812,-0.96528,-0.44757
813,-0.951115,-0.44994
814,-0.93695,-0.45231
815,-0.94165,-0.448165
816,-0.94635,-0.44402
817,-0.956225,-0.43488
818,-0.9661,-0.42574
819,-0.9408,-0.46931
820,-0.9155,-0.51288
821,-0.914365,-0.508075
822,-0.91323,-0.50327
823,-0.9341,-0.468455
824,-0.95497,-0.43364
825,-0.95892,-0.436425
826,-0.96287,-0.43921
827,-0.955275,-0.466955
828,-0.94768,-0.4947
829,-0.958335,-0.47981
830,-0.96899,-0.46492
831,-0.97554,-0.462015
832,-0.98209,-0.45911
833,-0.97074,-0.47492
834,-0.95939,-0.49073
835,-0.96539,-0.50875
836,-0.97139,-0.52677
837,-0.97401,-0.5281
838,-0.97663,-0.52943
839,-0.95714,-0.530775
840,-0.93765,-0.53212
841,-0.922405,-0.52313
842,-0.90716,-0.51414
843,-0.94616,-0.527815
844,-0.98516,-0.54149
845,-0.949455,-0.52008
846,-0.91375,-0.49867
847,-0.93124,-0.5316
848,-0.94873,-0.56453
849,-0.96793,-0.568315
850,-0.98713,-0.5721
851,-0.962025,-0.547255
852,-0.93692,-0.52241
853,-0.939975,-0.542935
854,-0.94303,-0.56346
855,-0.959425,-0.556265
856,-0.97582,-0.54907
857,-0.966745,-0.58329
858,-0.95767,-0.61751
859,-0.982885,-0.604095
860,-1.0081,-0.59068
861,-1.00865,-0.612605
862,-1.0092,-0.63453
863,-0.970755,-0.6081
864,-0.93231,-0.58167
865,-0.967205,-0.58265
866,-1.0021,-0.58363
867,-0.973435,-0.575865
868,-0.94477,-0.5681
869,-0.94082,-0.584045
870,-0.93687,-0.59999
871,-0.936395,-0.60149
872,-0.93592,-0.60299
873,-0.94037,-0.59781
