Time (ms),Upper body mq,Left Hand mq,Right Hand mq,Upper body mq.1,Left Hand mq.1,Right Hand mq.1
30650,142.490173,36.65403,5.802403,17.641277,0.0,1.6828020000000001
30738,126.02845,0.0,8.125919999999999,15.516188,0.0,1.1546399999999999
30850,30.34248,5.690392,0.0,35.533775,0.0,16.027245999999998
30966,28.968284999999998,3.0062439999999997,7.466222,46.828423,0.0,18.786598
31066,14.142323000000001,0.0,5.541018,15.670465,0.0,3.897874
31166,10.394509,3.1391080000000002,2.302868,0.0,0.0,0.0
31266,19.941593,0.778629,14.579985,0.0,0.0,0.0
31366,5.956185,0.0,3.626414,0.0,0.0,0.0
31434,15.664738,0.0,12.840048,114.19491599999999,11.478213,34.204624
31534,10.859684,0.0,6.018351999999999,8.64547,1.484475,0.659619
31650,7.581461999999999,0.0,1.802916,6.999086999999999,1.115646,2.2913900000000003
31766,14.169782999999999,0.0,7.929411,24.931948000000002,7.587388000000001,0.741595
31866,9.637838,0.0,7.310277,52.065041,22.594727,0.230596
31970,13.505003,1.572838,9.394043,7.224222999999999,3.065836,0.11714400000000001
32070,7.672935000000001,2.004188,2.597289,4.118030999999999,0.9183110000000001,0.037722000000000006
32138,8.449533,0.0,2.871102,8.548791,4.495019999999999,0.015982
32234,28.473782,0.0,15.578857999999999,1.5558809999999998,0.38527,0.037957
32334,19.853165,0.0,7.745177,1.6570630000000002,0.37087800000000004,0.043272000000000005
32450,10.972383,0.0,2.368936,1.362053,0.342713,0.048105
32570,14.177948,0.0,4.070644000000001,8.193698,2.489456,0.04133
32670,5.357116,0.0,0.316997,1.896881,0.586393,0.029358999999999996
32750,20.802292,5.278295,10.224186,11.091325,3.195268,0.0325
32902,12.130529,2.648266,3.296553,53.895527,0.8102050000000001,27.811182000000002
33000,20.360134,4.323162,4.3694180000000005,7.029491,0.2924,2.918009
33215,274.76037599999995,0.0,28.816044,0.0,0.0,0.0
34234,335.316162,82.754532,14.136784,98.06015,19.544207,16.901648
